timestamp_s,m1_a,m2_a,m3_a,m4_a,m5_a,m6_a,m7_a,m8_a,m9_a,m10_a,m11_a,m12_a
1777925239.9967,1.57,2.38,1.13,3.09,2.92,0.82,1.45,0.66,-0.16,2.44,2.3,-0.06
1777925240.1970,1.57,2.39,1.14,3.04,3.0,0.7,1.4,0.64,-0.21,2.46,2.36,-0.03
1777925240.3973,1.57,2.4,1.08,3.12,3.04,0.76,1.37,0.65,-0.17,2.46,2.31,-0.03
1777925240.5976,1.53,2.42,1.14,3.11,3.04,0.73,1.43,0.65,-0.18,2.48,2.28,-0.03
1777925240.7979,1.55,2.5,0.99,3.06,3.03,0.78,1.48,0.65,-0.3,2.46,2.46,-0.02
1777925240.9982,1.6,2.47,1.19,3.04,3.01,0.8,1.44,0.68,-0.29,2.49,2.39,-0.02
1777925241.1985,1.67,2.49,1.12,3.1,3.02,0.79,1.42,0.67,0.19,2.46,2.36,-0.03
1777925241.3991,1.61,2.4,1.09,3.07,3.01,0.77,1.4,0.64,0.14,2.44,2.33,-0.01
1777925241.5996,1.58,2.31,0.97,3.11,3.06,0.75,1.44,0.65,-0.27,2.49,2.46,-0.05
1777925241.7998,1.56,2.48,1.25,3.07,3.01,0.73,1.48,0.66,-0.22,2.47,2.38,-0.03
1777925242.0003,1.64,2.38,1.14,3.08,2.98,0.82,1.44,0.65,-0.24,2.49,2.36,-0.02
1777925242.2005,1.71,2.4,1.21,3.05,2.99,0.69,1.47,0.67,-0.22,2.47,2.35,-0.02
1777925242.4008,1.57,2.55,1.12,3.12,2.94,0.82,1.45,0.64,-0.31,2.45,2.26,-0.07
1777925242.6013,1.52,2.42,1.18,3.12,3.05,0.79,1.46,0.65,-0.33,2.46,2.29,0.0
1777925242.8016,1.57,2.41,1.19,3.09,2.99,0.63,1.39,0.67,-0.3,2.49,2.34,-0.04
1777925243.0019,1.6,2.38,1.01,3.11,3.1,0.72,1.43,0.67,-0.15,2.43,2.39,-0.03
1777925243.2021,1.47,2.45,1.27,3.04,3.08,0.81,1.45,0.64,-0.37,2.48,2.35,-0.06
